index,x,y,dx,dy
143,-115.0159988,35.8582993,-0.0149994,-0.0059013
144,-114.9960022,35.8571014,-0.0139999,-0.0070992
145,-114.9759979,35.8562012,-0.0130005,-0.0079994
146,-114.9560013,35.8557014,-0.0130005,-0.0084992
147,-114.9349976,35.8555984,-0.010994,-0.0086021
148,-114.9150009,35.8555984,-0.0100021,-0.0086021
149,-114.8949966,35.8557014,-0.0089951,-0.0084992
150,-115.3850021,35.865799,0.0559998,-0.0169029
151,-115.3730011,35.8655014,0.0479965,-0.0172005
152,-115.3659973,35.8652992,0.0360031,-0.0174026
153,-115.3580017,35.8650017,0.0250015,-0.0177002
154,-115.3499985,35.8647995,0.0139999,-0.0179024
155,-115.3420029,35.8647995,0.0029983,-0.0179024
156,-115.3339996,35.8651009,-0.0080032,-0.017601
157,-115.3249969,35.8656998,-0.0179977,-0.0170021
158,-115.3170013,35.8662987,-0.0289993,-0.0164032
159,-115.3089981,35.8672981,-0.0400009,-0.0154037
160,-115.3000031,35.8688011,-0.0510025,-0.0139008
161,-115.288002,35.8697014,-0.0579987,-0.0130005
162,-115.2519989,35.8679008,-0.0410004,-0.014801
163,-115.223999,35.8684998,-0.0319977,-0.0142021
164,-115.2009964,35.8684006,-0.0279999,-0.0143013
165,-115.1760025,35.8681984,-0.0220032,-0.0145035
166,-115.1520004,35.8692017,-0.0169983,-0.0135002
167,-115.1289978,35.8712997,-0.0130005,-0.0114021
168,-115.1070023,35.8745003,-0.0110016,-0.0082016
169,-115.0879974,35.8769989,-0.010994,-0.005703
170,-115.0709991,35.8787003,-0.0130005,-0.0040016
171,-115.0530014,35.8792992,-0.0139999,-0.0034027
172,-115.0360031,35.8790016,-0.0160065,-0.0037003
173,-115.0189972,35.8769989,-0.0179977,-0.005703
174,-114.9980011,35.8744011,-0.0159988,-0.0083008
175,-114.9769974,35.8731003,-0.0139999,-0.0096016
176,-114.9560013,35.8726997,-0.0130005,-0.0100021
177,-114.9349976,35.8727989,-0.010994,-0.009903
178,-114.9150009,35.8730011,-0.0100021,-0.0097008
179,-114.8949966,35.8731995,-0.0089951,-0.0095024
180,-115.387001,35.8736992,0.0540009,-0.0275002
181,-115.3740005,35.8714981,0.0469971,-0.0297012
182,-115.3669968,35.8707008,0.0350037,-0.0304985
183,-115.3590012,35.8698997,0.0240021,-0.0312996
184,-115.3499985,35.8694,0.0139999,-0.0317993
185,-115.3420029,35.8694,0.0029983,-0.0317993
186,-115.3330002,35.8697014,-0.0070038,-0.031498
187,-115.3239975,35.8703003,-0.0169983,-0.030899
188,-115.3150024,35.8709984,-0.0270004,-0.030201
189,-115.3059998,35.8721008,-0.0370026,-0.0290985
190,-115.2969971,35.8734016,-0.0479965,-0.0277977
191,-115.2870026,35.8746986,-0.0569992,-0.0265007
192,-115.2460022,35.8749008,-0.0350037,-0.0262985
193,-115.2200012,35.8774986,-0.0279999,-0.0237007
194,-115.2020035,35.8797989,-0.029007,-0.0214005
195,-115.1760025,35.8811989,-0.0220032,-0.0200005
196,-115.1490021,35.8838005,-0.0139999,-0.0173988
197,-115.1240005,35.8863983,-0.0080032,-0.014801
198,-115.1009979,35.8916016,-0.0049973,-0.0095978
199,-115.0849991,35.894001,-0.0079956,-0.0071983
200,-115.0690002,35.895401,-0.0110016,-0.0057983
201,-115.0530014,35.8967018,-0.0139999,-0.0044975
202,-115.0390015,35.896801,-0.0190048,-0.0043984
203,-115.026001,35.8945999,-0.0250015,-0.0065994
204,-115.0009995,35.8903008,-0.0189972,-0.0108986
205,-114.9779968,35.8893013,-0.0149994,-0.011898
206,-114.9560013,35.8893013,-0.0130005,-0.011898
207,-114.9349976,35.889801,-0.010994,-0.0113983
208,-114.9150009,35.8903008,-0.0100021,-0.0108986
209,-114.8949966,35.8908005,-0.0089951,-0.0103989
210,-115.3949966,35.8824997,0.0460052,-0.0372009
211,-115.3759995,35.8773003,0.0449982,-0.0424004
212,-115.3690033,35.8759003,0.0329971,-0.0438004
213,-115.3600006,35.8742981,0.0230026,-0.0454025
214,-115.3499985,35.8736992,0.0139999,-0.0460014
215,-115.3410034,35.8739014,0.0039978,-0.0457993
216,-115.3320007,35.8741989,-0.0060043,-0.0455017
217,-115.322998,35.8745003,-0.0159988,-0.0452003
218,-115.314003,35.8751984,-0.026001,-0.0445023
219,-115.3030014,35.8765984,-0.0340042,-0.0431023
220,-115.2939987,35.8779984,-0.0449982,-0.0417023
221,-115.2860031,35.8785019,-0.0559998,-0.0411987
222,-115.2490005,35.8805008,-0.038002,-0.0391998
223,-115.2129974,35.8818016,-0.0209961,-0.037899
224,-115.1930008,35.8851013,-0.0200043,-0.0345993
225,-115.1689987,35.8902016,-0.0149994,-0.0294991
226,-115.1449966,35.8941994,-0.0099945,-0.0255013
227,-115.125,35.8969994,-0.0090027,-0.0227013
228,-115.098999,35.8986015,-0.0029983,-0.0210991
229,-115.0849991,35.899601,-0.0079956,-0.0200996
230,-115.0680008,35.9009018,-0.0100021,-0.0187988
231,-115.0530014,35.902401,-0.0139999,-0.0172997
232,-115.0390015,35.9034996,-0.0190048,-0.016201
233,-115.0289993,35.9037018,-0.0279999,-0.0159988
234,-115.0029984,35.9040985,-0.0209961,-0.0156021
235,-114.9789963,35.9044991,-0.0159988,-0.0152016
236,-114.9560013,35.9053993,-0.0130005,-0.0143013
237,-114.9339981,35.9067001,-0.0099945,-0.0130005
238,-114.9140015,35.9076996,-0.0090027,-0.012001
239,-114.8939972,35.9085007,-0.0079956,-0.0112
240,-115.4020004,35.8945007,0.0390015,-0.0437012
241,-115.3809967,35.885601,0.0400009,-0.0526009
242,-115.3710022,35.8810005,0.0309982,-0.0572014
243,-115.3610001,35.8783989,0.0220032,-0.059803
244,-115.348999,35.8773994,0.0149994,-0.0608025
245,-115.3399963,35.8786011,0.0050049,-0.0596008
246,-115.3320007,35.8792,-0.0060043,-0.0590019
247,-115.3239975,35.8785019,-0.0169983,-0.0597
